mile_marker,latitude,longitude
10,32.63879992550629,-116.52528658744234
20,32.689844335537195,-116.50982555615415
30,32.75445154960577,-116.43972257591757
40,32.85771911493257,-116.4138612846609
50,32.92244454437474,-116.47380244222992
60,33.006735331113596,-116.53740647438505
70,33.067484420670446,-116.49147682680834
80,33.12409594716265,-116.49002632229228
90,33.17855453650853,-116.54877174154933
100,33.22891449509243,-116.59947941247098
110,33.300309525704215,-116.62837576057848
120,33.355544904731616,-116.60788949440828
130,33.44046856538127,-116.60451940906994
140,33.50977793227327,-116.5817851313564
150,33.58770735039728,-116.5705538494169
160,33.683081287469086,-116.60209916595953
170,33.760573874174604,-116.64597699023287
180,33.80072488881178,-116.69873035230071
190,33.863839654224094,-116.71549432183998
200,33.87751748845783,-116.67968632689018
210,33.9771973618446,-116.67455816328837
220,34.044516446737774,-116.65797745038958
230,34.128397005568985,-116.71865423247444
240,34.150849650126816,-116.7142217403121
250,34.22289937663233,-116.74918142278754
260,34.303743781424046,-116.81471446023463
270,34.28122549604942,-116.91276639898875
280,34.28700739653811,-117.00542135805435
290,34.27334622811164,-117.12757012329517
300,34.34076115250673,-117.18365842651913
310,34.31003530274044,-117.27151909901443
320,34.288374158158504,-117.35653955729292
330,34.31905402291007,-117.44527356008109
340,34.28694325879527,-117.51342881247703
350,34.324874635272586,-117.61097637079443
360,34.37562576940829,-117.71978236407419
370,34.352891401815455,-117.79680194379043
380,34.354472465845085,-117.8830621701726
390,34.35024686848791,-117.96275626832195
400,34.38389081996727,-118.02644292388484
410,34.394306201326756,-118.11034340672236
420,34.379318581878856,-118.20477442021837
430,34.42853720754792,-118.26253173816387
440,34.47947263482598,-118.31238588085546
450,34.565718788818664,-118.32699443599415
460,34.61238992234705,-118.36957378971033
470,34.64634875626691,-118.43182850587107
480,34.68784863161808,-118.51850889868707
490,34.70538840926573,-118.61989584788417
500,34.75303924516237,-118.63795508060294
510,34.834225342620556,-118.58686459562723
520,34.87940374421854,-118.45040477843517
530,34.97764569931008,-118.45565526483804
540,35.02137893251721,-118.39860437870153
550,35.08289707158133,-118.30845618735253
560,35.14223119652631,-118.25828967058759
570,35.230141801877686,-118.2380173366352
580,35.29727394319969,-118.26488208030078
590,35.393531320432594,-118.29962525408345
