mile_marker,latitude,longitude
0,32.589741150000066,-116.46698064499998
50,32.92244454437474,-116.47380244222992
100,33.22891449509243,-116.59947941247098
150,33.58770735039728,-116.5705538494169
200,33.87751748845783,-116.67968632689018
250,34.22289937663233,-116.74918142278754
300,34.34076115250673,-117.18365842651913
350,34.324874635272586,-117.61097637079443
400,34.38389081996728,-118.02644292388484
450,34.565718788818664,-118.32699443599414
500,34.75303924516237,-118.63795508060294
550,35.082897071581336,-118.30845618735252
600,35.45553576932136,-118.25564370560689
650,35.74039486272063,-118.01731113657301
700,36.15906186288653,-118.14535819911681
750,36.5334422449984,-118.36333198063471
800,37.00205728671163,-118.45276640611786
850,37.26518270963138,-118.87753801827496
900,37.66825135019271,-119.07859540520042
950,38.013020347731135,-119.41346296160853
1000,38.29514737713693,-119.63773703457743
1050,38.610431850924144,-119.89185136351102
1100,38.98073542736134,-120.18399446627149
1150,39.40453988357224,-120.38510569013586
1200,39.68953446233211,-120.70194018092539
1250,39.875615644711466,-121.11953146550655
1300,40.193879877093956,-121.4388422996251
1350,40.56947032294419,-121.4563541017689
1400,41.009300453730354,-121.62524516560875
1450,41.128301426662205,-122.02797437853408
1500,41.20948394524242,-122.41420434585952
1550,41.22573090146596,-122.7771822029216
1600,41.53654940967242,-123.1379417199253
1650,41.93273391002278,-123.15620393275134
1700,42.06007191516691,-122.59366920365765
1750,42.369915251184835,-122.30241046587489
1800,42.872498026734554,-122.17825175685115
1850,43.298699711451015,-122.00967540244444
1900,43.71544780442841,-121.99172580183468
1950,44.176244289170135,-121.81583913995793
2000,44.635373584976044,-121.81738971408583
2050,45.0935265084613,-121.73453740773527
2100,45.50830760886646,-121.86845805773699
2150,45.80630384647976,-121.98466913934664
2200,46.13247445789704,-121.6680920628137
2250,46.504796151133505,-121.46331190082711
2300,46.89833305637707,-121.49821783417414
2350,47.28687744483669,-121.37828514284487
2400,47.51450963805131,-121.20993773753331
2450,47.843900489491844,-121.15230075335555
2500,48.16710721865522,-121.12050871979463
2550,48.45784999636764,-120.83698558767149
2600,48.801111554485544,-120.72629914532128
