track_name,latitude,longitude,color
CDT,31.4970368,-108.2086635,#00AA00
CDT,31.4970555,-108.2087893,#00AA00
CDT,31.4971186,-108.2090828,#00AA00
CDT,31.4971484,-108.2093341,#00AA00
CDT,31.4971536,-108.2095662,#00AA00
CDT,31.4971671,-108.2096245,#00AA00
CDT,31.497162,-108.2097762,#00AA00
CDT,31.4971713,-108.2098733,#00AA00
CDT,31.4971747,-108.2100829,#00AA00
CDT,31.4971934,-108.2103475,#00AA00
CDT,31.4972306,-108.2105514,#00AA00
CDT,31.4972803,-108.2107942,#00AA00
CDT,31.4973114,-108.2109058,#00AA00
CDT,31.4973155,-108.2109884,#00AA00
CDT,31.4973031,-108.2110539,#00AA00
CDT,31.49733,-108.2111073,#00AA00
CDT,31.4973465,-108.2111777,#00AA00
CDT,31.4973403,-108.2112263,#00AA00
CDT,31.4973383,-108.2113112,#00AA00
CDT,31.4973528,-108.2113622,#00AA00
CDT,31.4974066,-108.2114278,#00AA00
CDT,31.4974459,-108.2114933,#00AA00
CDT,31.4974645,-108.211571,#00AA00
CDT,31.4974894,-108.2116996,#00AA00
CDT,31.4974894,-108.2118162,#00AA00
CDT,31.4974769,-108.2119497,#00AA00
CDT,31.4974914,-108.2120298,#00AA00
CDT,31.4975535,-108.212139,#00AA00
CDT,31.4976156,-108.2122798,#00AA00
CDT,31.4976736,-108.2124886,#00AA00
CDT,31.497715,-108.2126561,#00AA00
CDT,31.4977502,-108.2128163,#00AA00
CDT,31.4977688,-108.2130008,#00AA00
CDT,31.4977957,-108.2131246,#00AA00
CDT,31.4977916,-108.2132508,#00AA00
CDT,31.4977895,-108.2133698,#00AA00
CDT,31.497775,-108.2134669,#00AA00
CDT,31.4977626,-108.2135227,#00AA00
CDT,31.4977791,-108.2135883,#00AA00
CDT,31.4977812,-108.2137485,#00AA00
CDT,31.4977978,-108.214001,#00AA00
CDT,31.4977854,-108.2141927,#00AA00
CDT,31.4977729,-108.2143287,#00AA00
CDT,31.4977833,-108.2144962,#00AA00
CDT,31.4977688,-108.214586,#00AA00
CDT,31.4977854,-108.214671,#00AA00
CDT,31.4977771,-108.2147389,#00AA00
CDT,31.4977729,-108.2147996,#00AA00
CDT,31.4977564,-108.2148822,#00AA00
CDT,31.4977502,-108.2149647,#00AA00
CDT,31.4977377,-108.2151055,#00AA00
CDT,31.4977295,-108.2152269,#00AA00
CDT,31.4977172,-108.2153492,#00AA00
CDT,31.4976235,-108.2155037,#00AA00
CDT,31.4975562,-108.2156032,#00AA00
CDT,31.4974947,-108.2156856,#00AA00
CDT,31.4974537,-108.2159294,#00AA00
CDT,31.4974332,-108.2161216,#00AA00
CDT,31.4973717,-108.2164134,#00AA00
CDT,31.4973278,-108.2166606,#00AA00
CDT,31.4973015,-108.216949,#00AA00
CDT,31.4972042,-108.2173367,#00AA00
CDT,31.4972001,-108.2176271,#00AA00
CDT,31.4971499,-108.2181572,#00AA00
CDT,31.4967054,-108.2191578,#00AA00
CDT,31.4961757,-108.2206883,#00AA00
CDT,31.4960822,-108.2211541,#00AA00
