mile_marker,latitude,longitude
0,31.4970368,-108.2086635
50,32.01317529774086,-108.48383686279121
100,32.432911631595346,-108.52017091356824
150,32.76763913726384,-108.40957235113729
200,33.00714496429066,-108.1145652562198
250,33.34581161672491,-107.84129541209899
300,33.67938508967259,-108.03718834532874
350,33.77606166911902,-108.4753156661482
400,34.2594159317855,-108.38309055432659
450,34.60928657471352,-108.34651764465977
500,34.956928811502046,-108.14316786607925
550,35.18362270511474,-107.79354300730613
600,35.552185022693855,-107.32524555155727
650,36.00551056556848,-106.98719162182772
700,36.343785739781595,-106.57824897666826
750,36.6468107221764,-106.19974981054415
800,37.019873875029475,-106.45279936427835
850,37.40553597585372,-106.65909290457849
900,37.60680843708622,-107.11384743521099
950,37.773054566219265,-107.55571654905268
1000,37.96952473215298,-106.96156595499116
1050,38.31388690335598,-106.50640303114493
1100,38.600156957160515,-106.34789394585452
1150,38.99059236124223,-106.43058625903171
1200,39.35953117264737,-106.31876195967355
1250,39.52844263466084,-105.93240093954896
1300,39.75727267096617,-105.88127615575235
1350,40.08980527703606,-105.73674458146579
1400,40.34955190226663,-105.94046213779687
1450,40.40472841581712,-106.45664187740276
1500,40.72730651818532,-106.70756906247215
1550,41.17015989980695,-106.99054119280892
1600,41.4978445503836,-107.47678334208254
1650,41.99981268874227,-107.40699506148277
1700,42.385900285336405,-108.06878441445694
1750,42.46375825262237,-108.83374999697142
1800,42.78145966575398,-109.30170897790634
1850,43.20074078982554,-109.74680952375422
1900,43.629462997560495,-109.99618474789902
1950,44.03680937341582,-110.17328488492535
2000,44.33412549960961,-110.7212802435397
2050,44.54568243603754,-111.22834823334179
2100,44.6023522048394,-111.5218801485897
2150,44.52342760091957,-112.09668987572425
2200,44.478870605590636,-112.785542069069
2250,44.75786157877168,-113.13988979310365
2300,45.10726786644179,-113.5078173081968
2350,45.42922616755553,-113.77672189463561
2400,45.80306198080377,-113.76706337770777
2450,46.04674012061245,-113.29249279130475
2500,45.88537706631889,-112.73528371924778
2550,45.994604878667545,-112.44333478550901
2600,46.31067455321487,-112.56474634384293
2650,46.64403966975148,-112.30722546886257
2700,46.988704733134476,-112.33334326843281
2750,47.351244860340906,-112.75022051048072
2800,47.7277808113705,-113.07025528828918
2850,48.12891676755363,-113.03542308035351
2900,48.44381481249275,-113.23466410974804
2950,48.66882266288558,-113.62016054202803
