track_name,latitude,longitude,color
AT,34.6267694,-84.1938787,#00AA00
AT,34.6268429,-84.1938853,#00AA00
AT,34.6268913,-84.1939,#00AA00
AT,34.6269485,-84.1939274,#00AA00
AT,34.6270046,-84.1939527,#00AA00
AT,34.627039,-84.1939557,#00AA00
AT,34.6270625,-84.1939622,#00AA00
AT,34.6271186,-84.1939755,#00AA00
AT,34.6271616,-84.1939888,#00AA00
AT,34.6271941,-84.1939851,#00AA00
AT,34.62731,-84.1939806,#00AA00
AT,34.6273381,-84.1939842,#00AA00
AT,34.6273651,-84.1939957,#00AA00
AT,34.6274104,-84.1940101,#00AA00
AT,34.62747,-84.1940283,#00AA00
AT,34.6275241,-84.1940451,#00AA00
AT,34.6276118,-84.1940791,#00AA00
AT,34.6276636,-84.1941217,#00AA00
AT,34.6277183,-84.1941708,#00AA00
AT,34.6277965,-84.194246,#00AA00
AT,34.627862,-84.194296,#00AA00
AT,34.6279696,-84.194365,#00AA00
AT,34.6279946,-84.1943851,#00AA00
AT,34.6280349,-84.1944134,#00AA00
AT,34.6280677,-84.1944198,#00AA00
AT,34.6281104,-84.1944297,#00AA00
AT,34.6281573,-84.1944312,#00AA00
AT,34.6282058,-84.1944324,#00AA00
AT,34.6282845,-84.1944206,#00AA00
AT,34.6283174,-84.1944158,#00AA00
AT,34.6283547,-84.1944176,#00AA00
AT,34.6284552,-84.1944306,#00AA00
AT,34.6285655,-84.1944687,#00AA00
AT,34.6286338,-84.1944901,#00AA00
AT,34.628688,-84.1945108,#00AA00
AT,34.628756,-84.1945363,#00AA00
AT,34.6288157,-84.1945412,#00AA00
AT,34.6288924,-84.1945327,#00AA00
AT,34.6289959,-84.1945156,#00AA00
AT,34.6290606,-84.1945146,#00AA00
AT,34.6291333,-84.1945012,#00AA00
AT,34.6292435,-84.1944711,#00AA00
AT,34.6292746,-84.1944625,#00AA00
AT,34.6293303,-84.1944565,#00AA00
AT,34.6294289,-84.1944613,#00AA00
AT,34.6294837,-84.1944511,#00AA00
AT,34.6295324,-84.194448,#00AA00
AT,34.6295802,-84.1944275,#00AA00
AT,34.6296458,-84.1943948,#00AA00
AT,34.6296916,-84.1943924,#00AA00
AT,34.6297514,-84.1944093,#00AA00
AT,34.6297872,-84.1944335,#00AA00
AT,34.6298412,-84.1944767,#00AA00
AT,34.6298858,-84.1945422,#00AA00
