mile_marker,latitude,longitude
0,45.9044497,-68.9215011
50,45.65545288812881,-69.00677532019918
100,45.36987682224996,-69.46777853614728
150,45.18444237737231,-70.05885064020424
200,44.91899345230181,-70.5242460699387
250,44.558589692638726,-70.97286236003107
300,44.30673011108356,-71.31242607996629
350,44.07509650854777,-71.75768282785067
400,43.70121511615532,-72.25363601588197
450,43.63739032161779,-72.84136592824217
500,43.14908982161668,-72.99077824300448
550,42.68766801735111,-73.15990067014734
600,42.24487641862252,-73.21250947381071
650,41.91711903150778,-73.37735097644338
700,41.562227930500505,-73.69477958445255
750,41.258735311483875,-74.13456810586833
800,41.26457102749534,-74.67657502172415
850,40.88085879468342,-75.27428122878321
900,40.60560743590985,-75.95666444005857
950,40.50267994448637,-76.56411361969282
1000,40.21466420697366,-77.10501934006075
1050,39.83584360057257,-77.50037828220798
1100,39.324823436553665,-77.71394694520859
1150,38.88879171903011,-78.08988932485687
1200,38.51937567390344,-78.44353668639569
1250,38.119272882975295,-78.78603459805558
1300,37.82624059253162,-79.14054998256746
1350,37.53182294436238,-79.49806459044801
1400,37.42916139491143,-79.96464815572517
1450,37.373265980555345,-80.44192111034376
1500,37.24348869829637,-80.8286137838039
1550,37.05508370880127,-81.38602043936548
1600,36.71869998274911,-81.46432868545568
1650,36.6270634108805,-81.80056056881907
1700,36.24826576186863,-82.12264186267723
1750,36.15648275882914,-82.2186676763886
1800,35.97785662532846,-82.60936488195458
1850,35.84082581360339,-82.91033017331155
1900,35.64426113749923,-83.36184835723624
1950,35.42276133478246,-83.80345150234395
2000,35.12520641839862,-83.55762792078662
2050,34.81343986710547,-83.65876900750578
2100,34.665258258735996,-84.14223260594039
