track_name,latitude,longitude,color
CA Section A,32.589741150000066,-116.46698064499998,#00AA00
CA Section A,32.58993502900006,-116.46702827299998,#00AA00
CA Section A,32.59005160400005,-116.46718496699998,#00AA00
CA Section A,32.59013826100005,-116.46736928399997,#00AA00
CA Section A,32.59022553900007,-116.46771861299999,#00AA00
CA Section A,32.59029620000007,-116.46783029999995,#00AA00
CA Section A,32.59040700000003,-116.46787189999998,#00AA00
CA Section A,32.590604445000054,-116.46787471299996,#00AA00
CA Section A,32.59069563500003,-116.46786589699997,#00AA00
CA Section A,32.591002925000055,-116.46773865699998,#00AA00
CA Section A,32.59108883600004,-116.46767739999996,#00AA00
CA Section A,32.59141720000002,-116.46766114599995,#00AA00
CA Section A,32.591538214000025,-116.46754233599995,#00AA00
CA Section A,32.591620085000045,-116.46737277799997,#00AA00
CA Section A,32.591868599000065,-116.46712263899997,#00AA00
CA Section A,32.59291322800004,-116.467101577,#00AA00
CA Section A,32.593172254000024,-116.46705650599995,#00AA00
CA Section A,32.59343381800005,-116.46707812399995,#00AA00
CA Section A,32.59364387100004,-116.46699031499998,#00AA00
CA Section A,32.59384856400004,-116.46677274199999,#00AA00
CA Section A,32.59400412800005,-116.46672291699997,#00AA00
CA Section A,32.59421766200006,-116.46675193899995,#00AA00
CA Section A,32.59464034000007,-116.46668081399997,#00AA00
CA Section A,32.59476514100004,-116.46671432799997,#00AA00
CA Section A,32.59490527600008,-116.46672371799997,#00AA00
CA Section A,32.59498973900003,-116.46669999099998,#00AA00
CA Section A,32.595078459000035,-116.46672910199999,#00AA00
CA Section A,32.59524226100007,-116.46662991899996,#00AA00
CA Section A,32.595399833000045,-116.46665442899996,#00AA00
CA Section A,32.59554433300008,-116.46671372099996,#00AA00
CA Section A,32.59576479400005,-116.46667862499999,#00AA00
CA Section A,32.595833406000054,-116.46669635999996,#00AA00
CA Section A,32.59583340700004,-116.46669635999996,#00AA00
CA Section A,32.59641052100005,-116.46669539299995,#00AA00
CA Section A,32.596569902000056,-116.46672265099994,#00AA00
CA Section A,32.59687217600003,-116.46668006499999,#00AA00
CA Section A,32.59710435100004,-116.46671198599995,#00AA00
CA Section A,32.59727593800005,-116.46666925199997,#00AA00
CA Section A,32.597476511000025,-116.46670551899996,#00AA00
CA Section A,32.597528821000026,-116.46673898199998,#00AA00
CA Section A,32.59757680300004,-116.46683325199996,#00AA00
CA Section A,32.59761324200008,-116.46702901199995,#00AA00
CA Section A,32.597647506000044,-116.46747552499994,#00AA00
CA Section A,32.597764201000075,-116.46772779399998,#00AA00
CA Section A,32.597806029000026,-116.46796673399996,#00AA00
CA Section A,32.59776756400004,-116.46826594699996,#00AA00
CA Section A,32.597554107000065,-116.46868162699997,#00AA00
CA Section A,32.59753344600006,-116.46883417799995,#00AA00
CA Section A,32.59767323300002,-116.46891732399996,#00AA00
CA Section A,32.59781434100006,-116.46894235999997,#00AA00
CA Section A,32.59791135300003,-116.46898917799996,#00AA00
CA Section A,32.59817018500007,-116.46918987499998,#00AA00
